,cacao,camaldule,clementin,grandis,halophilu,lyrata,papaya,parvulum,raimondii,rapa,rubella,sinensis,thalian,vinifera
cacao,0.0,0.822401514999797,0.8210188436929047,0.821591011632654,0.8585837448942996,0.8681337183750034,0.8319497348952534,0.8950332830463283,0.7872735541684975,0.8625000149748313,0.88760592959949,0.8141740688822005,0.8943052765385267,0.800224104269236
camaldule,0.822401514999797,0.0,0.830393896573712,0.7432173408073519,0.8581706547356815,0.8762799617496864,0.842451848814334,0.909086010605771,0.7604511320677414,0.8764897967471398,0.9017274298654325,0.8251977999441644,0.9077360126765133,0.7879485828812932
clementin,0.8210188436929047,0.830393896573712,0.0,0.8299497226087359,0.8620077516269872,0.870699644399352,0.833977913183532,0.8985613500251786,0.7990126290886921,0.8659055066249904,0.8901672040703511,0.802740619243467,0.8973358474999426,0.808774162817793
grandis,0.821591011632654,0.7432173408073519,0.8299497226087359,0.0,0.8588469336875769,0.8756775568716996,0.8422137522702682,0.9090908999994177,0.7610424823359339,0.8759493291534037,0.9006574637408546,0.8248200905861289,0.9074695695209104,0.7872645733147867
halophilu,0.8585837448942996,0.8581706547356815,0.8620077516269872,0.8588469336875769,0.0,0.8798273653050883,0.8651444524565499,0.9065903657500044,0.8437521835905787,0.8794534111919469,0.8985991839383405,0.8582954509285651,0.9043790208371065,0.8458649670408376
lyrata,0.8681337183750034,0.8762799617496864,0.870699644399352,0.8756775568716996,0.8798273653050883,0.0,0.874488887172517,0.9041883808688977,0.8555605415145842,0.8736930801798289,0.8981227126194679,0.8670257239929966,0.9022994544502351,0.8591087533389287
papaya,0.8319497348952534,0.842451848814334,0.833977913183532,0.8422137522702682,0.8651444524565499,0.874488887172517,0.0,0.8997207036972305,0.8106644547820632,0.8687545360340393,0.8916207295844298,0.8292095491310854,0.8998274081544538,0.819708194655381
parvulum,0.8950332830463283,0.909086010605771,0.8985613500251786,0.9090908999994177,0.9065903657500044,0.9041883808688977,0.8997207036972305,0.0,0.8905387028143611,0.9014878572373066,0.9062556185522326,0.8964984253992857,0.9069434740320617,0.8916430384082034
raimondii,0.7872735541684975,0.7604511320677414,0.7990126290886921,0.7610424823359339,0.8437521835905787,0.8555605415145842,0.8106644547820632,0.8905387028143611,0.0,0.8497521838501026,0.8819273555544326,0.791797611887149,0.8896902404747554,0.7511331479014912
rapa,0.8625000149748313,0.8764897967471398,0.8659055066249904,0.8759493291534037,0.8794534111919469,0.8736930801798289,0.8687545360340393,0.9014878572373066,0.8497521838501026,0.0,0.8953957594638662,0.862310066358794,0.9005627188319231,0.8545906052201234
rubella,0.88760592959949,0.9017274298654325,0.8901672040703511,0.9006574637408546,0.8985991839383405,0.8981227126194679,0.8916207295844298,0.9062556185522326,0.8819273555544326,0.8953957594638662,0.0,0.8876948139529699,0.9036305347761491,0.8836555179405012
sinensis,0.8141740688822005,0.8251977999441644,0.802740619243467,0.8248200905861289,0.8582954509285651,0.8670257239929966,0.8292095491310854,0.8964984253992857,0.791797611887149,0.862310066358794,0.8876948139529699,0.0,0.894486482009411,0.8029615449406928
thalian,0.8943052765385267,0.9077360126765133,0.8973358474999426,0.9074695695209104,0.9043790208371065,0.9022994544502351,0.8998274081544538,0.9069434740320617,0.8896902404747554,0.9005627188319231,0.9036305347761491,0.894486482009411,0.0,0.8908313073607022
vinifera,0.800224104269236,0.7879485828812932,0.808774162817793,0.7872645733147867,0.8458649670408376,0.8591087533389287,0.819708194655381,0.8916430384082034,0.7511331479014912,0.8545906052201234,0.8836555179405012,0.8029615449406928,0.8908313073607022,0.0
