Node1,Node2,Weight
camaldule,grandis,0.6371177439319982
raimondii,vinifera,0.6647868418065453
camaldule,raimondii,0.6759768268970348
cacao,raimondii,0.7027490903512272
raimondii,sinensis,0.7052512156997489
clementin,raimondii,0.7160050871006435
papaya,raimondii,0.7312978426287535
halophilu,raimondii,0.7700317562358976
raimondii,rapa,0.7743865724190386
lyrata,raimondii,0.7800242362801448
raimondii,rubella,0.814039702795146
raimondii,thalian,0.8236932766093517
parvulum,raimondii,0.8253999442675992
